id,text,label
1,Rs.13469.00 debited towards uber ride via UPI. Ref No 9937633394. Avl bal Rs.7475.00.,Transport
2,Your UPI transaction of Rs.4002.00 to irctc was successful. Ref No 9667310196.,Travel & Booking
3,Rs.8769.00 paid via UPI for dth bill. Ref No 1043884415.,Bills & Recharge
4,UPI transaction of Rs.16010.00 made to dominos on 22-Sep-25. Ref No 8014046904. Avl bal Rs.33594.00.,Food & Delivery
5,Rs.7448.00 paid via UPI for djb bill. Ref No 9702490740.,Bills & Recharge
6,Rs.9884.00 debited towards rapido ride via UPI. Ref No 3956784850. Avl bal Rs.28983.00.,Transport
7,Failed UPI transaction of Rs.3316.00 attempted at flipkart@upi on 20-Jun-25. Ref No 3725838737. Amount will be reversed if debited.,Failed Transactions
8,UPI AutoPay: Rs.7914.00 deducted for sonyliv subscription. Ref No 8852579199.,Entertainment/Subscriptions
9,Failed UPI transaction of Rs.7642.00 attempted at swiggy@upi on 21-Sep-25. Ref No 3592370470. Amount will be reversed if debited.,Failed Transactions
10,Your UPI transaction of Rs.2467.00 to redbus was successful. Ref No 9754264690.,Travel & Booking
11,Your a/c XXXX4973 debited by Rs.7012.00 on 20-Oct-25 to flipkart@upi. Ref No 2691869916. Avl bal Rs.69032.00.,Shopping
12,UPI AutoPay: Rs.13457.00 deducted for sonyliv subscription. Ref No 2874736149.,Entertainment/Subscriptions
13,Failed UPI transaction of Rs.13530.00 attempted at amazon@upi on 19-Feb-25. Ref No 1536741398. Amount will be reversed if debited.,Failed Transactions
14,Failed UPI transaction of Rs.12465.00 attempted at swiggy@upi on 26-Jan-25. Ref No 9854877693. Amount will be reversed if debited.,Failed Transactions
15,You have sent Rs.1992.00 to mother@upi via UPI. Ref No 6583160851. Date: 14-Oct-25. Avl bal Rs.64335.00.,Transfers Sent
16,Rs.18988.00 credited to your a/c XXXX5031 from phonepe@upi. Ref No 7262436437. Avl bal Rs.26978.00.,Transfers Received
17,Your a/c XXXX1378 debited by Rs.7199.00 on 05-May-25 to lifestylestore@upi. Ref No 4988296944. Avl bal Rs.23095.00.,Shopping
18,You have sent Rs.8611.00 to father@upi via UPI. Ref No 8500278711. Date: 21-Feb-25. Avl bal Rs.11363.00.,Transfers Sent
19,Rs.8882.00 paid via UPI for vodafone bill. Ref No 9557649518.,Bills & Recharge
20,Rs.8591.00 credited to your a/c XXXX1450 from refund@upi. Ref No 6862074396. Avl bal Rs.36513.00.,Transfers Received
21,Your UPI transaction of Rs.11770.00 to bookmyshow was successful. Ref No 7491055644.,Travel & Booking
22,Failed UPI transaction of Rs.17061.00 attempted at swiggy@upi on 27-Apr-25. Ref No 8603483718. Amount will be reversed if debited.,Failed Transactions
23,Rs.11465.00 paid via UPI for dth bill. Ref No 4986356686.,Bills & Recharge
24,UPI AutoPay: Rs.990.00 deducted for tataplay subscription. Ref No 1700156151.,Entertainment/Subscriptions
25,Failed UPI transaction of Rs.13210.00 attempted at dominos@upi on 28-Oct-25. Ref No 4259807186. Amount will be reversed if debited.,Failed Transactions
26,Rs.17389.00 debited towards bmtc ride via UPI. Ref No 6543058528. Avl bal Rs.98345.00.,Transport
27,Your a/c XXXX9487 debited by Rs.5174.00 on 17-Jun-25 to reliance@upi. Ref No 3650277556. Avl bal Rs.89715.00.,Shopping
28,Your UPI transaction of Rs.13743.00 to airindia was successful. Ref No 9633236827.,Travel & Booking
29,UPI AutoPay: Rs.326.00 deducted for hotstar subscription. Ref No 1903508807.,Entertainment/Subscriptions
30,Your a/c XXXX4461 debited by Rs.7619.00 on 17-Sep-25 to lifestylestore@upi. Ref No 9784675859. Avl bal Rs.81958.00.,Shopping
31,Your a/c XXXX4557 debited by Rs.5678.00 on 30-Jan-25 to bigbazaar@upi. Ref No 6265021517. Avl bal Rs.14918.00.,Shopping
32,UPI AutoPay: Rs.11366.00 deducted for hotstar subscription. Ref No 9241702730.,Entertainment/Subscriptions
33,Your UPI transaction of Rs.13063.00 to makemytrip was successful. Ref No 3825057444.,Travel & Booking
34,You have sent Rs.1875.00 to father@upi via UPI. Ref No 7432028734. Date: 30-Jan-25. Avl bal Rs.32583.00.,Transfers Sent
35,Rs.5012.00 debited towards uber ride via UPI. Ref No 3649809763. Avl bal Rs.24581.00.,Transport
36,Rs.5567.00 paid via UPI for airtel bill. Ref No 8872448729.,Bills & Recharge
37,You have sent Rs.11255.00 to friend@upi via UPI. Ref No 2299055330. Date: 21-Jul-25. Avl bal Rs.50482.00.,Transfers Sent
38,UPI transaction of Rs.7034.00 made to pizzahut on 11-Feb-25. Ref No 3807853430. Avl bal Rs.73664.00.,Food & Delivery
39,Rs.8601.00 debited towards rapido ride via UPI. Ref No 2358704132. Avl bal Rs.50204.00.,Transport
40,UPI transaction of Rs.18037.00 made to kfc on 16-Aug-25. Ref No 8257105408. Avl bal Rs.67849.00.,Food & Delivery
41,Your UPI transaction of Rs.633.00 to makemytrip was successful. Ref No 1969733611.,Travel & Booking
42,You have sent Rs.11364.00 to friend@upi via UPI. Ref No 6418769981. Date: 01-Dec-25. Avl bal Rs.92557.00.,Transfers Sent
43,Your a/c XXXX2121 debited by Rs.9203.00 on 14-Dec-25 to myntra@upi. Ref No 5133699062. Avl bal Rs.57765.00.,Shopping
44,UPI AutoPay: Rs.10525.00 deducted for hotstar subscription. Ref No 3168392796.,Entertainment/Subscriptions
45,Your a/c XXXX7788 debited by Rs.1360.00 on 02-Feb-25 to myntra@upi. Ref No 9701088047. Avl bal Rs.95686.00.,Shopping
46,UPI AutoPay: Rs.1562.00 deducted for gaana subscription. Ref No 9071614736.,Entertainment/Subscriptions
47,Failed UPI transaction of Rs.18541.00 attempted at flipkart@upi on 19-May-25. Ref No 3658052188. Amount will be reversed if debited.,Failed Transactions
48,Your UPI transaction of Rs.9547.00 to makemytrip was successful. Ref No 5532107412.,Travel & Booking
49,You have sent Rs.2248.00 to sister@upi via UPI. Ref No 2908962140. Date: 22-Feb-25. Avl bal Rs.53411.00.,Transfers Sent
50,Your a/c XXXX1566 debited by Rs.10741.00 on 24-Jul-25 to reliance@upi. Ref No 1847639126. Avl bal Rs.81005.00.,Shopping
51,Rs.94.00 debited towards uber ride via UPI. Ref No 5208893019. Avl bal Rs.49701.00.,Transport
52,Rs.6622.00 paid via UPI for airtel bill. Ref No 1760163213.,Bills & Recharge
53,You have sent Rs.16021.00 to father@upi via UPI. Ref No 5628823515. Date: 14-Jul-25. Avl bal Rs.36879.00.,Transfers Sent
54,UPI AutoPay: Rs.16904.00 deducted for netflix subscription. Ref No 8652274780.,Entertainment/Subscriptions
55,Rs.15868.00 paid via UPI for bescom bill. Ref No 7093982928.,Bills & Recharge
56,Rs.3290.00 credited to your a/c XXXX4741 from googlepay@upi. Ref No 3083149669. Avl bal Rs.91783.00.,Transfers Received
57,Rs.4320.00 credited to your a/c XXXX9295 from googlepay@upi. Ref No 9637650980. Avl bal Rs.49735.00.,Transfers Received
58,Failed UPI transaction of Rs.1123.00 attempted at zomato@upi on 15-Feb-25. Ref No 1021474427. Amount will be reversed if debited.,Failed Transactions
59,Rs.8872.00 paid via UPI for vodafone bill. Ref No 3975431295.,Bills & Recharge
60,Your UPI transaction of Rs.1113.00 to irctc was successful. Ref No 5288607206.,Travel & Booking
61,You have sent Rs.8597.00 to friend@upi via UPI. Ref No 1162916441. Date: 07-Jun-25. Avl bal Rs.94627.00.,Transfers Sent
62,You have sent Rs.5865.00 to friend@upi via UPI. Ref No 2356103024. Date: 23-Jun-25. Avl bal Rs.2610.00.,Transfers Sent
63,Rs.12867.00 paid via UPI for jio bill. Ref No 4781560283.,Bills & Recharge
64,Failed UPI transaction of Rs.19474.00 attempted at amazon@upi on 17-Mar-25. Ref No 7879437755. Amount will be reversed if debited.,Failed Transactions
65,Rs.7445.00 credited to your a/c XXXX3309 from googlepay@upi. Ref No 3490963805. Avl bal Rs.42115.00.,Transfers Received
66,Rs.14291.00 debited towards delhimetro ride via UPI. Ref No 9686488922. Avl bal Rs.34974.00.,Transport
67,Rs.15812.00 debited towards ola ride via UPI. Ref No 7063910698. Avl bal Rs.34383.00.,Transport
68,Your a/c XXXX5996 debited by Rs.12164.00 on 07-Feb-25 to myntra@upi. Ref No 7157425193. Avl bal Rs.87606.00.,Shopping
69,Rs.13054.00 credited to your a/c XXXX1776 from googlepay@upi. Ref No 8033480068. Avl bal Rs.76690.00.,Transfers Received
70,Failed UPI transaction of Rs.7054.00 attempted at zomato@upi on 17-May-25. Ref No 2168846697. Amount will be reversed if debited.,Failed Transactions
71,Rs.12083.00 credited to your a/c XXXX7822 from salary@upi. Ref No 5716230805. Avl bal Rs.5858.00.,Transfers Received
72,You have sent Rs.9461.00 to friend@upi via UPI. Ref No 5583478118. Date: 04-Mar-25. Avl bal Rs.48193.00.,Transfers Sent
73,Rs.11409.00 credited to your a/c XXXX8167 from phonepe@upi. Ref No 7252445363. Avl bal Rs.58892.00.,Transfers Received
74,Your a/c XXXX4393 debited by Rs.5297.00 on 16-Dec-25 to lifestylestore@upi. Ref No 4326436145. Avl bal Rs.58322.00.,Shopping
75,You have sent Rs.13439.00 to father@upi via UPI. Ref No 7013855407. Date: 10-Nov-25. Avl bal Rs.14174.00.,Transfers Sent
76,UPI transaction of Rs.1261.00 made to dominos on 13-Jun-25. Ref No 9469607408. Avl bal Rs.22833.00.,Food & Delivery
77,You have sent Rs.10960.00 to friend@upi via UPI. Ref No 4265497492. Date: 21-Jan-25. Avl bal Rs.22895.00.,Transfers Sent
78,Failed UPI transaction of Rs.1701.00 attempted at swiggy@upi on 09-Jul-25. Ref No 2242521449. Amount will be reversed if debited.,Failed Transactions
79,Your a/c XXXX8801 debited by Rs.15716.00 on 15-May-25 to shoppersstop@upi. Ref No 8278998738. Avl bal Rs.61823.00.,Shopping
80,Your a/c XXXX7213 debited by Rs.6653.00 on 28-Sep-25 to bigbazaar@upi. Ref No 3368130763. Avl bal Rs.29480.00.,Shopping
81,Rs.12742.00 credited to your a/c XXXX4868 from salary@upi. Ref No 4264405610. Avl bal Rs.48741.00.,Transfers Received
82,You have sent Rs.14939.00 to friend@upi via UPI. Ref No 1484449329. Date: 03-Jul-25. Avl bal Rs.21352.00.,Transfers Sent
83,Rs.2989.00 debited towards uber ride via UPI. Ref No 3873312598. Avl bal Rs.10709.00.,Transport
84,Rs.17935.00 debited towards ola ride via UPI. Ref No 8524790706. Avl bal Rs.41705.00.,Transport
85,UPI AutoPay: Rs.4702.00 deducted for netflix subscription. Ref No 6217988176.,Entertainment/Subscriptions
86,Your a/c XXXX2142 debited by Rs.13262.00 on 17-Jan-25 to myntra@upi. Ref No 8002063792. Avl bal Rs.87960.00.,Shopping
87,UPI AutoPay: Rs.6726.00 deducted for sonyliv subscription. Ref No 8607106022.,Entertainment/Subscriptions
88,Failed UPI transaction of Rs.17536.00 attempted at dominos@upi on 20-Jun-25. Ref No 5963821932. Amount will be reversed if debited.,Failed Transactions
89,Your UPI transaction of Rs.6903.00 to makemytrip was successful. Ref No 3365956953.,Travel & Booking
90,UPI transaction of Rs.4841.00 made to kfc on 06-Aug-25. Ref No 7925376785. Avl bal Rs.3122.00.,Food & Delivery
91,UPI AutoPay: Rs.16556.00 deducted for netflix subscription. Ref No 9667880059.,Entertainment/Subscriptions
92,Failed UPI transaction of Rs.1788.00 attempted at myntra@upi on 09-Mar-25. Ref No 4945243812. Amount will be reversed if debited.,Failed Transactions
93,UPI AutoPay: Rs.14996.00 deducted for sonyliv subscription. Ref No 2854490736.,Entertainment/Subscriptions
94,Rs.13646.00 debited towards delhimetro ride via UPI. Ref No 4038528385. Avl bal Rs.28734.00.,Transport
95,Your UPI transaction of Rs.6906.00 to redbus was successful. Ref No 1851866007.,Travel & Booking
96,You have sent Rs.19073.00 to friend@upi via UPI. Ref No 9595173537. Date: 24-Dec-25. Avl bal Rs.47458.00.,Transfers Sent
97,Rs.16894.00 credited to your a/c XXXX3968 from phonepe@upi. Ref No 5441683080. Avl bal Rs.90173.00.,Transfers Received
98,Rs.10451.00 debited towards bmtc ride via UPI. Ref No 2623970334. Avl bal Rs.83230.00.,Transport
99,You have sent Rs.16691.00 to brother@upi via UPI. Ref No 2767894626. Date: 17-Jan-25. Avl bal Rs.67949.00.,Transfers Sent
100,UPI AutoPay: Rs.14544.00 deducted for tataplay subscription. Ref No 7779361584.,Entertainment/Subscriptions
101,Failed UPI transaction of Rs.12842.00 attempted at myntra@upi on 05-May-25. Ref No 4677111241. Amount will be reversed if debited.,Failed Transactions
102,UPI AutoPay: Rs.426.00 deducted for netflix subscription. Ref No 2669276753.,Entertainment/Subscriptions
103,Failed UPI transaction of Rs.14968.00 attempted at swiggy@upi on 24-Nov-25. Ref No 4595620758. Amount will be reversed if debited.,Failed Transactions
104,Rs.9943.00 paid via UPI for gaspay bill. Ref No 9738818572.,Bills & Recharge
105,Your a/c XXXX1971 debited by Rs.5420.00 on 12-May-25 to shoppersstop@upi. Ref No 7448518278. Avl bal Rs.19202.00.,Shopping
106,Your a/c XXXX8610 debited by Rs.18741.00 on 13-Feb-25 to myntra@upi. Ref No 6651569910. Avl bal Rs.49033.00.,Shopping
107,UPI transaction of Rs.18310.00 made to burgerking on 14-Feb-25. Ref No 7187695139. Avl bal Rs.86260.00.,Food & Delivery
108,Rs.5918.00 credited to your a/c XXXX1602 from refund@upi. Ref No 5569168856. Avl bal Rs.66764.00.,Transfers Received
109,You have sent Rs.15163.00 to brother@upi via UPI. Ref No 8838826457. Date: 21-Aug-25. Avl bal Rs.6501.00.,Transfers Sent
110,Your a/c XXXX2190 debited by Rs.17487.00 on 21-Dec-25 to shoppersstop@upi. Ref No 7311132015. Avl bal Rs.87450.00.,Shopping
111,Rs.16225.00 credited to your a/c XXXX7433 from paytm@upi. Ref No 5365382564. Avl bal Rs.5742.00.,Transfers Received
112,Failed UPI transaction of Rs.10699.00 attempted at amazon@upi on 19-Jan-25. Ref No 3970935197. Amount will be reversed if debited.,Failed Transactions
113,Rs.10335.00 debited towards rapido ride via UPI. Ref No 6249541076. Avl bal Rs.15503.00.,Transport
114,UPI AutoPay: Rs.19369.00 deducted for hotstar subscription. Ref No 7164801176.,Entertainment/Subscriptions
115,Your a/c XXXX2821 debited by Rs.12768.00 on 05-Apr-25 to bigbazaar@upi. Ref No 6517655608. Avl bal Rs.1251.00.,Shopping
116,Your UPI transaction of Rs.17311.00 to bookmyshow was successful. Ref No 2341810020.,Travel & Booking
117,Your UPI transaction of Rs.19824.00 to redbus was successful. Ref No 8221871161.,Travel & Booking
118,Your a/c XXXX6631 debited by Rs.16498.00 on 04-Feb-25 to bigbazaar@upi. Ref No 4546890773. Avl bal Rs.39723.00.,Shopping
119,Failed UPI transaction of Rs.18210.00 attempted at swiggy@upi on 16-Oct-25. Ref No 2410390251. Amount will be reversed if debited.,Failed Transactions
120,Your a/c XXXX4823 debited by Rs.11658.00 on 31-Oct-25 to lifestylestore@upi. Ref No 4287976940. Avl bal Rs.57911.00.,Shopping
121,Rs.13855.00 debited towards ola ride via UPI. Ref No 1505576820. Avl bal Rs.60655.00.,Transport
122,UPI transaction of Rs.3107.00 made to zomato on 06-Nov-25. Ref No 9586765422. Avl bal Rs.33149.00.,Food & Delivery
123,UPI transaction of Rs.13368.00 made to burgerking on 19-Dec-25. Ref No 7004177848. Avl bal Rs.89102.00.,Food & Delivery
124,Rs.19774.00 paid via UPI for gaspay bill. Ref No 5962405993.,Bills & Recharge
125,You have sent Rs.7304.00 to brother@upi via UPI. Ref No 6390192777. Date: 10-Oct-25. Avl bal Rs.39309.00.,Transfers Sent
126,You have sent Rs.14428.00 to mother@upi via UPI. Ref No 4063358672. Date: 26-Sep-25. Avl bal Rs.71754.00.,Transfers Sent
127,UPI AutoPay: Rs.15903.00 deducted for spotify subscription. Ref No 8652821789.,Entertainment/Subscriptions
128,Rs.7730.00 debited towards ola ride via UPI. Ref No 4294791493. Avl bal Rs.92833.00.,Transport
129,You have sent Rs.3005.00 to father@upi via UPI. Ref No 8060375343. Date: 14-Apr-25. Avl bal Rs.12354.00.,Transfers Sent
130,Rs.4257.00 credited to your a/c XXXX2031 from phonepe@upi. Ref No 5586482726. Avl bal Rs.9490.00.,Transfers Received
131,Your UPI transaction of Rs.6896.00 to airindia was successful. Ref No 6194249544.,Travel & Booking
132,You have sent Rs.11437.00 to father@upi via UPI. Ref No 3820296191. Date: 05-Sep-25. Avl bal Rs.27481.00.,Transfers Sent
